


1_star: A ac; nt
alizarin_test: N nc; tech
alkaline_ph: N;
all_arounder: N nc; per
all_of: ; pureDT vtt
all_or_any: DT;
all_right: UH;
all_such: DT; pureDT
all_that: DT;
all_the: DT; pureDT
all_these: DT;
all_this: DT;
all_those: DT;
allen_wrench: N nc; count tool
allergy_diet: N nc; treatment
allergy_shot: N nc; treatment
allied_country: N nc;
alligator_wrench: N nc; count tool
alloc_unit: N nc unit;
allotype_suppression: N nc; treatment
allow_for: VB vc; VNPTO tWord vt
allow_in: VB vc; pt vac vt
alma_mater: N nc; abstract org
alms_box: N nc; count tool
alms_dish: N nc; tool
alms_tray: N nc; tool
along_with: P;
alot_of: DT;
alpha_bungarotoxin: N nc; nt
alpha_latrotoxin: N nc; nt
alpha_software: N nc; tool
alpha_toxin: N nc; nt
alphanumeric_display: N nc; prod tool
alpine_golden_chain: N;
alpine_lift: N nc; tool
alpine_scurvy: N;
altar_boy: N nc; per
alter_ego: N nc; count per
alternative_energy: N nc;
alternative_medicine: N nc; treatment
aluminium_foil: N nc; prod
aluminium_tolerance: N nc; abstract
aluminum_foil: N nc; prod
aluminum_tolerance: N nc; abstract
alveolar_artery: N nc; bodyPart
alveolar_sac: N nc; bodyPart
ambulatory_monitoring: N nc; treatment
ambulatory_surgery: N nc; treatment
american_civil_war: NNP;
american_columbo: N;
american_indian: NNP nc; origin per
american_revised_version: N;
american_revolution: N;
american_revolutionary_war: N;
american_rock_brake: N;
american_samoa: N country nc;
american_standard_code_for_information_interchange: NNP;
american_standard_version: NNP;
american_war_of_independence: NNP;
amfotericin_b: N;
amicus_curiae: N nc; per
amino_acid: N nc; prod
aminopeptidase_a: N;
aminopeptidase_b: N;
aminopeptidase_c: N;
aminopeptidase_i: N;
aminopeptidase_p: N;
ammodytoxin_a: N nc; nt
ammonia_clock: N nc; tool
ammunition_chest: N nc; tool
among_friends: A ac; idiomPP
amp_meter: N nc; prod tool
amphetamine_detection: N nc; treatment
amphibious_aircraft: N nc; tool
amphibious_vehicle: N nc; prod
amphotericin_b: N;
amputation_stump: N nc; bodyPart
amun_ra: NNP;
amusement_park: N nc;
amylase_inhibition: N nc; treatment
amyloid_a: N;
amyloid_aa: N;
amyloid_p: N;
an_awful_lot: NN RB;
ana_o_1: NNP;
ana_o_2: NNP;
ana_o_3: NNP;
anal_retentive: A ac; nt
analog_clock: N nc; tool
analog_watch: N nc; tool
analytical_balance: N nc; tool
anchor_chain: N nc; tool
ancien_regime: N nc; abstract
and_i_mean: sRB
and_tango_makes_three: NNP;
andaman_marble: N
androgen_therapy: N nc; treatment
aneroid_barometer: N nc; tool
anesthesia_induction: N nc; treatment
