tear_duct:N nc bodyPartN perF
tear_ducts:NNS plu nc bodyPartN perF 'tear_duct'
eye_lash:N nc bodyPartN perF
eye_lashes:NNS plu nc bodyPartN perF 'eye_lash'
#1_rated: A ac; 
'emselves: ;PRP reflexive 
ad_nauseam: ;RB 
ad_val: ;RB 
ad_valorem: ;RB 
ad_valorem_tax: NN nc; 
ad_valorem_taxes: NNS nc;Xs plu 'ad_valorem_taxe' 
add_weight_to: VB vc;vtt 
added_together: Ved Ven past vc; 
added_up: Ved Ven past vc; 
adder's_tongue: NN nc; 
adder's_tongues: NNS nc;Xs plu 
adding_together: Ving; 
adding_up: Ving; 
adds_together: vc;VBZ 
adds_up: vc;VBZ 
adductor_muscle: NN nc; 
adductor_muscles: NN NNS nc;Xs n plu 'adductor_muscle' 


ader_wax: NN nc; 
adhesion_contract: NN nc; 
adhesion_contracts: NN NNS nc;Xs n plu 'adhesion_contract' 
adiabatic_process: NN nc; 
adiabatic_processes: NNS nc;Xs plu 'adiabatic_processe' 
adiposis_dolorosa: NN nc; 
adjusting_entries: NNS nc;Xs plu 'adjusting_entrie' 
adjusting_entry: NN nc; 
adrenal_cortex: NN nc; 
adrenal_corti: NNS nc;Xs plu 
adrenal_cortical_steroid: NN nc; 
adrenal_cortical_steroids: NN NNS nc;Xs n plu 'adrenal_cortical_steroid' 


adrenal_medulla: NN nc; 
adrenal_medullae: NNS nc;Xs plu 
adrenal_medullas: NN NNS nc;Xs n plu 'adrenal_medulla' 
advance_death_benefit: NN nc; 
advance_death_benefits: NN NNS nc;Xs n plu 'advance_death_benefit' 
adverse_opinion: NN nc; 
adverse_opinions: NN NNS nc;Xs n plu 'adverse_opinion' 
advertising_campaign: NN nc; 
advertising_campaigns: NN NNS nc;Xs n plu 'advertising_campaign' 
advice_and_consent: NN nc; 
aerobic_exercise: NN nc; 
aerobic_exercises: NN NNS nc;Xs n plu 'aerobic_exercise' 
aerodynamic_force: NN nc; 
aerodynamic_forces: NN NNS nc;Xs n plu 'aerodynamic_force' 
aerodynamic_lift: NN nc; 
aerosol_bomb: NN nc; 
aerosol_bombs: NN NNS nc;Xs n plu 'aerosol_bomb' 
affected_role: NN nc; 
affected_roles: NN NNS nc;Xs n plu 'affected_role' 
afferent_nerve: NN nc; 
afferent_nerves: NN NNS nc;Xs n plu 'afferent_nerve' 


affirmative_action: NN nc; 
affirmative_actions: NN NNS nc;Xs n plu 'affirmative_action' 
affirmative_pleading: NN nc; 
aflatoxin_B: NN nc; 
aflatoxin_B1: NN nc; 
aflatoxin_B2: NN nc; 
aflatoxin_G1: NN nc; 
aflatoxin_G2: NN nc; 
aflatoxin_M1: NN nc; 
aflatoxin_M2: NN nc; 
after_a_while: ;RB 
after_part: NN nc; 
after_parts: NN NNS nc;Xs n plu 'after_part' 

again_and_again: ;RB 
against_the_clock: ;RB 
against_the_wind: ;RB 
against_time: ;RB 
age_bracket: NN nc; 
age_brackets: NN NNS nc;Xs n plu 'age_bracket' 
age_class: NN nc; 
age_classes: NNS nc;Xs plu 'age_classe' 
age_group: NN nc; 
age_groups: NN NNS nc;Xs n plu 'age_group' 
age_limit: NN nc; 
age_limits: NN NNS nc;Xs n plu 'age_limit' 
age_norm: NN nc; 
age_norms: NN NNS nc;Xs n plu 'age_norm' 
agency_security: NN nc; 
agents_provocateur: NNS nc;Xs plu 
agglutination_test: NN nc; 
agglutination_tests: NN NNS nc;Xs n plu 'agglutination_test' 
aggravated_assault: NN nc; 
aggravated_assaults: NN NNS nc;Xs n plu 'aggravated_assault' 
aggregate_fruit: NN nc; 
aggregate_fruits: NN NNS nc;Xs n plu 'aggregate_fruit' 
agony_aunts: NNS nc;per 'agony_aunt' 
agony_column: NN nc; 
agony_columns: NN NNS nc;Xs n plu 'agony_column' 
ague_root: NN nc; 
ague_roots: NN NNS nc;Xs n plu 'ague_root' 
ahead_of_expectation: A ac; 
ahead_of_expectations: A ac; 
aid_station: NN nc; 
aid_stations: NN NNS nc;Xs n plu 'aid_station' 
air-to-air_missile: NN nc; 
air-to-air_missiles: NNS nc;Xs plu 
air-to-ground_missile: NN nc; 
air-to-ground_missiles: NNS nc;Xs plu 
air-to-surface_missile: NN nc; 
air-to-surface_missiles: NNS nc;Xs plu 
air_attack: NN nc; 
air_attacks: NN NNS nc;Xs n plu 'air_attack' 
air_bag: NN nc; 
air_bags: NN NNS nc;Xs n plu 'air_bag' 
air_base: NN nc; 
air_bases: NN NNS nc;Xs n plu 'air_base' 
air_bladder: NN nc; 
air_bladders: NN NNS nc;Xs n plu 'air_bladder' 
air_bubble: NN nc; 
air_bubbles: NN NNS nc;Xs n plu 'air_bubble' 
air_cover: NN nc; 
air_crew: NN nc; 
air_crews: NN NNS nc;Xs n plu 'air_crew' 
air_current: NN nc; 
air_currents: NN NNS nc;Xs n plu 'air_current' 
air_cushion: NN nc; 
air_cushions: NN NNS nc;Xs n plu 'air_cushion' 
air_defense: NN nc; 
air_duct: NN nc; 
air_ducts: NN NNS nc;Xs n plu 'air_duct' 
air_flow: NN nc; 
air_flows: NN NNS nc;Xs n plu 'air_flow' 
air_gas: NN nc; 
air_hole: NN nc; 
air_holes: NN NNS nc;Xs n plu 'air_hole' 
air_horn: NN nc; 
air_horns: NN NNS nc;Xs n plu 'air_horn' 


air_lock: NN nc; 
air_locks: NN NNS nc;Xs n plu 'air_lock' 
air_mail: NN nc; 
air_mass: NN nc; 
air_masses: NNS nc;Xs plu 'air_masse' 
air_mattress: NN nc; 
air_mattresses: NNS nc;Xs plu 'air_mattresse' 
air_passage: NN nc; 
air_passages: NN NNS nc;Xs n plu 'air_passage' 
air_pocket: NN nc; 
air_pockets: NN NNS nc;Xs n plu 'air_pocket' 

air_power: NN nc; 
air_pressure: NN nc; 
