absorbefacient::: /absorbefacient/  A ac; artifact
absorber::: /absorber/  NN; nc prod
absorbsion::: /absorbsion/  NN deverbal nc;
absorbtion::: /absorbtion/  NN deverbal nc;
absorption::: /absorption/  NN deverbal topN3; nc VerbNom
absquatulate::: /absquatulate/  VB; vc
abstain::: /abstain/  VB; vc VNG VPNGsc VPP causeNotDo give vi
abstainer::: /abstainer/  NN; nc count per
abstemious::: /abstemious/  A ac; behavior
abstinence::: /abstinence/  NN deverbal nc; VerbNom time
abstract::: /abstract/  A NN VB ac topN2; VNPPP abstract count vac vt
abstracter::: /abstracter/  NN; nc job
abstraction::: /abstraction/  NN deverbal nc; VerbNom mental vac
abstractionist::: /abstractionist/  NN; nc per
abstractor::: /abstractor/  NN; nc job
abstruse::: /abstruse/  A ac; content
absurd::: /absurd/  A ac; ATH AitPPforTO abstract content curse kind
abundant::: /abundant/  A ac topN3; APP quant situation up
abundunt::: /abundunt/  A ac; APP quant situation up
abuse::: /abuse/  N0 VB deverbal topN3; vc VerbNom aggravateW troubleW vac vt
abuser::: /abuser/  NN; nc count per
abusive::: /abusive/  A ac; APP troubleW vac
abut::: /abut/  VB; vc VIrecip VPP tie
abutment::: /abutment/  NN deverbal nc; VerbNom component
abutter::: /abutter/  NN; nc per
aby::: /aby/  VB; vc resume
abye::: /abye/  VB; vc resume
abysm::: /abysm/  NN; nc count
abysmal::: /abysmal/  A ac; ATH AitPPforTOomit curse emph passion
abyss::: /abyss/  NN; nc loc count
abyssal::: /abyssal/  A ac; natural
acadamy::: /acadamy/  NN; nc count orgHN vac
academe::: /academe/  NN; nc abstract group
academia::: /academia/  NN; nc abstract group
academic::: /academic/  A NN ac topN2; nc AWHSS count job
academician::: /academician/  NN; nc count job
academy::: /academy/  NN topN3; nc count orgHN vac
acadmic::: /acadmic/  A NN ac nc; AWHSS count job
acanthus::: /acanthus/  NN; nc artifact
acarus::: /acarus/  NN; nc animal
accademic::: /accademic/  A NN ac nc; AWHSS count job
accademy::: /accademy/  NN; nc count orgHN vac
accede::: /accede/  VB; vc VPP pAttitude
accelerate::: /accelerate/  VB; vc VHOWSS VI VNPPP VPP VhisNG chgMeasure moreC vac vt
acceleration::: /acceleration/  NN deverbal topN3; nc VerbNom speed
accelerator::: /accelerator/  NN; nc component count prod tool
accelerometer::: /accelerometer/  NN; nc tool
accelleration::: /accelleration/  NN deverbal nc; speed
accent::: /accent/  NN V0 deverbal topN3; count natural property vt
accentuate::: /accentuate/  VB; vc VTH VhisNG vt
accentuation::: /accentuation/  NN deverbal nc; VerbNom
accept::: /accept/  VB topN3; vc VI VNPNGoc VNPPP VNPPPas VTH VWHSS VhisNG chgPoss enBe own tWord vac
acceptable::: /acceptable/  A ac topN3; APP ATH AitPPforTOomit pt vac
acceptance::: /acceptance/  NN deverbal topN3; nc VerbNom possession up vac
acceptation::: /acceptation/  NN deverbal nc; VerbNom
acceptence::: /acceptence/  NN deverbal nc; possession up vac
acceptible::: /acceptible/  A ac; APP ATH AitPPforTOomit pt vac
acceptor::: /acceptor/  NN; nc group per
access::: /access/  NN V0 deverbal topN2; nc Key VerbNom vacTo vt
accession::: /accession/  NN V0 nc; abstract
acciaccatura::: /acciaccatura/  NN; nc natural
accidence::: /accidence/  NN; nc info
accident::: /accident/  NN topN3; nc count nt phenomena vac
accidental::: /accidental/  A ac; ATH AitPPforTO nt vac
acclaim::: /acclaim/  N0 VB deverbal; vc VNPNP VNPPPas VerbNom vt
acclamation::: /acclamation/  NN deverbal nc; VerbNom stateMental
acclimate::: /acclimate/  VB; vc VNPPP VPP VhisNG
acclimation::: /acclimation/  NN deverbal nc; VerbNom
acclimatise::: /acclimatise/  VB; vc VNPPP VPP VhisNG suit vt
acclimatize::: /acclimatize/  VB; vc VNPPP VPP VhisNG suit
acclivitous::: /acclivitous/  A ac; posture
acclivous::: /acclivous/  A nc; posture
accolade::: /accolade/  NN; nc abstract count
accomadate::: /accomadate/  VB; vc VNPPP VPP VhisNG pt vac vt
accomdate::: /accomdate/  VB; vc VNPPP VPP VhisNG pt vac vt
accommodate::: /accommodate/  VB topN3; vc VI VNPPP VPP VhisNG pt vac vt
accommodator::: /accommodator/  NN; nc per
accomodate::: /accomodate/  VB; vc VNPPP VPP VhisNG pt vac vt
accompaniment::: /accompaniment/  NN deverbal nc; phy
accompanist::: /accompanist/  NN; nc count job
accompany::: /accompany/  VB; vc VNPPP chase vt whileAway
accompanyed::: /accompanyed/  VB; vc VNPPP chase vt whileAway
accompanyist::: /accompanyist/  NN; nc job
accomplice::: /accomplice/  NN; nc count per
accomplish::: /accomplish/  VB topN3; vc mkBetter succeed vac vt
accomplishment::: /accomplishment/  NN deverbal nc; VerbNom good rank result statePhy vacOf
accord::: /accord/  NN V0 deverbal nc; VPP count dative prod0
accordance::: /accordance/  NN deverbal nc; VerbNom situation
accordeon::: /accordeon/  NN; nc artifact count
accordian::: /accordian/  NN; nc artifact count
accordion::: /accordion/  NN; nc artifact count
accordionist::: /accordionist/  NN; nc job
accost::: /accost/  VB; vc pEmo vt
accouchement::: /accouchement/  NN; nc
accoucheur::: /accoucheur/  NN; nc job
accoucheuse::: /accoucheuse/  NN; nc job
account::: /account/  NN V0 topN2; nc VNPAP VPP VPPNG VPPPP VPhisNG VRB count
accountable::: /accountable/  A ac; APP act
accountant::: /accountant/  NN topN3; nc count job
accoustic::: /accoustic/  A ac; info vac
accouter::: /accouter/  VB; vc give
accouterment::: /accouterment/  NN; nc tool
accoutre::: /accoutre/  VB; vc give
accoutrement::: /accoutrement/  NN; nc tool
accquaint::: /accquaint/  VB; vc VNPPP mkAct
accredit::: /accredit/  VB; vc VNPPNGoc VNPPP enBe
accreditation::: /accreditation/  NN deverbal topN3; nc VerbNom
accrete::: /accrete/  VB; vc vt
accretion::: /accretion/  NN deverbal nc; VerbNom statePhy
accrual::: /accrual/  NN deverbal nc; VerbNom statePhy
accrue::: /accrue/  VB; vc VI VPP moreC quantChg vac vt
accruement::: /accruement/  NN deverbal nc; VerbNom statePhy
acct::: /acct/  NN V0 nc; VNPAP VPP VPPNG VPPPP VPhisNG VRB count
acculturate::: /acculturate/  VB; vc vt
acculturation::: /acculturation/  NN deverbal nc; VerbNom
accumulate::: /accumulate/  VB; vc move quantChg take
accumulation::: /accumulation/  NN deverbal topN3; nc VerbNom phy statePhy vac
accumulator::: /accumulator/  NN; nc count prod tool
accurate::: /accurate/  A ac topN3; APP AitPPforTOomit content pt vac
accurse::: /accurse/  VB; vc
accursed::: /accursed/  A ac; ebla
accusal::: /accusal/  NN deverbal nc; VerbNom
accusation::: /accusation/  NN deverbal nc; VerbNom troubleW
accusatory::: /accusatory/  A ac; nt
accuse::: /accuse/  VB; vc VNPPNGoc VNPPP blame perOrgV vac vt
accuser::: /accuser/  NN; nc count nt per
accustom::: /accustom/  VB; vc VNPNGoc VNPPP VNPTOoc suit
ace::: /ace/  A NN topN3; nc count per
acedemic::: /acedemic/  A NN ac nc; AWHSS count job
acedia::: /acedia/  NN; nc nt
