#1-rated: /top-rated/  A ac; good hyphenated
'em: /them/  PRP 'them'
'emselves: /themselves/  PRP reflexive 'themselves'
'fore: /before/  P SC
'tween: /between/  RB P
2-dimensional: /2-dimensional/  A ac; hyphenated
acardiacus: /acardiacus/  NN nc;
acardii: /acardii/  NNS Xs nc;
acardius: /acardius/  NN nc;
acari: /acari/  NNS Xs nc;
acariasis: /acariasis/  NN nc;
acaricide: /acaricide/  NN nc;
acarid: /acarid/  NN nc;
acaridiasis: /acaridiasis/  NN nc;
acarine: /acarine/  NN nc;
acarinosis: /acarinosis/  NN nc;
acariosis: /acariosis/  NN nc;
acarophobia: /acarophobia/  NN nc;
acarpellous: /acarpellous/  A ac;
acarpelous: /acarpelous/  A ac;
acarpous: /acarpous/  A ac;
acaryote: /acaryote/  NN nc;
acatalectic: /acatalectic/  A NN;
acataphasia: /acataphasia/  NN nc;
acathexia: /acathexia/  NN nc;
acathexis: /acathexis/  NN nc;
acaudal: /acaudal/  A ac;
acaudate: /acaudate/  A ac;
acaulescent: /acaulescent/  A ac;
accelerando: /accelerando/  ; RB advX
accentor: /accentor/  NN nc;
accentual: /accentual/  A ac;

acceptive: /acceptive/  A ac;
accesory: /accesory/  NN nc;
accessional: /accessional/  A ac;
accessorial: /accessorial/  A ac;
accessorii: /accessorii/  NNS Xs nc;
accessorius: /accessorius/  NN nc;
acciaccature: /acciaccature/  NNS Xs nc;
accidental-war: /accidental-war/  NN nc; hyphenated
accipitrine: /accipitrine/  A ac;
accommodational: /accommodational/  A ac;
accommodative: /accommodative/  A ac;
accomplishable: /accomplishable/  A ac;
accordant: /accordant/  A ac;
accordion-folding: /accordion-folding/  A ac; hyphenated
account-churning: /account-churning/  Ving nc; hyphenated
accountantship: /accountantship/  NN nc;
accretionary: /accretionary/  A ac;
accretive: /accretive/  A ac;
accrument: /accrument/  NN nc;
acculturational: /acculturational/  A ac;
acculturative: /acculturative/  A ac;
accumbent: /accumbent/  A ac;
accumulative: /accumulative/  A ac;
accurst: /accurst/  A ac;
accusatorial: /accusatorial/  A ac;
accusive: /accusive/  A ac;
acebutolol: /acebutolol/  NN nc;
acellular: /acellular/  A ac;
acentric: /acentric/  A ac;
acephali: /acephali/  NNS Xs nc;
acephalia: /acephalia/  NN nc;
acephalism: /acephalism/  NN nc;
acephalous: /acephalous/  A ac;
acephalus: /acephalus/  NN nc;
acephaly: /acephaly/  NN nc;
acerate: /acerate/  A ac;
acerola: /acerola/  NN nc;
acerose: /acerose/  A ac;
acervate: /acervate/  A ac;
acervuli: /acervuli/  NNS Xs nc;
acervulus: /acervulus/  NN nc;
aceta: /aceta/  NNS Xs nc;
acetabula: /acetabula/  NNS Xs nc;
acetabular: /acetabular/  A ac;
acetal: /acetal/  NN nc;
acetaldol: /acetaldol/  NN nc;
acetamide: /acetamide/  NN nc;
acetaminophen: /acetaminophen/  NN nc;
acetanilid: /acetanilid/  NN nc;
acetanilide: /acetanilide/  NN nc;
acetate: /acetate/  NN nc;
acetin: /acetin/  NN nc;
acetoacetate: /acetoacetate/  NN nc;
acetobacteria: /acetobacteria/  NNS Xs nc;
acetobacterium: /acetobacterium/  NN nc;
acetogenin: /acetogenin/  NN nc;
acetolysis: /acetolysis/  NN nc;
acetominophen: /acetominophen/  NN nc;
acetonic: /acetonic/  A ac;
acetonitrile: /acetonitrile/  NN nc;
acetophenetidin: /acetophenetidin/  NN nc;
acetophenone: /acetophenone/  NN nc;
acetose: /acetose/  A ac;
acetous: /acetous/  A ac;
acetphenetidin: /acetphenetidin/  NN nc;
acetum: /acetum/  NN nc;
acetylaniline: /acetylaniline/  NN nc;
acetylase: /acetylase/  NN nc;
acetylcholine: /acetylcholine/  NN nc;
acetyldigitoxin: /acetyldigitoxin/  NN nc;
acetyldigoxin: /acetyldigoxin/  NN nc;
acetylenic: /acetylenic/  A ac;
acetylgalactosaminyltransferase: /acetylgalactosaminyltransferase/  NN nc;
acetylglucosaminyltransferase: /acetylglucosaminyltransferase/  NN nc;
acetylhexosaminidase: /acetylhexosaminidase/  NN nc;
acetylic: /acetylic/  A ac;
acetyltransferase: /acetyltransferase/  NN nc;
achenial: /achenial/  A ac;
achievability: /achievability/  NN nc;
achievement-test: /achievement-test/  NN nc; hyphenated
achillea: /achillea/  NN nc;
achira: /achira/  NN nc;
achlamydeous: /achlamydeous/  A ac;
achlorhydria: /achlorhydria/  NN nc;
achlorhydric: /achlorhydric/  A ac;
acholia: /acholia/  NN nc;
achondrite: /achondrite/  NN nc;
achondritic: /achondritic/  A ac;
achondroplasia: /achondroplasia/  NN nc;
achondroplastic: /achondroplastic/  A ac;
achondroplasty: /achondroplasty/  NN nc;
