20-20_technology:: NNP NE;com '20-20_technologies' 
aavid_thermalloy_technologies:: NNP NE;com 'aavid_thermal_technologies' 
aavid_thermalloy_technology:: NNP NE;com 'aavid_thermal_technologies' 
ab_volvo:: NNP NE;com 'volvo' 
abb_asea_brown_boveri:: NNP NE;com 'asea_brown_boveri' 
abb_automation:: NNP NE;com 'abb' 
abb_automation_products:: NNP NE;com 'abb' 
abb_automation_tech:: NNP NE;com 'abb' 
abb_automation_tech_products:: NNP NE;com 'abb' 
abb_automation_technologies:: NNP NE;com 'abb' 
abb_automation_technologies_products:: NNP NE;com 'abb' 
abb_automation_technology:: NNP NE;com 'abb' 
abb_automation_technology_products:: NNP NE;com 'abb' 
abb_electronic:: NNP NE;com 'abb' 
abb_electronics:: NNP NE;com 'abb' 
abb_group:: NNP NE;com 'abb' 
abb_power:: NNP NE;com 'abb' 
abb_power_electronic:: NNP NE;com 'abb' 
abb_power_electronics:: NNP NE;com 'abb' 
abb_power_products:: NNP NE;com 'abb' 
abb_power_tech:: NNP NE;com 'abb' 
abb_power_tech_products:: NNP NE;com 'abb' 
abb_power_technologies:: NNP NE;com 'abb' 
abb_power_technology:: NNP NE;com 'abb' 
abb_power_technology_products:: NNP NE;com 'abb' 
abb_products:: NNP NE;com 'abb' 
abbott_labs:: NNP NE;com 'abbott_laboratories' 
abbott_vascular:: NNP NE;com 'abbott_laboratories' 
abbott_vascular_devices:: NNP NE;com 'abbott_laboratories' 
abc_radio:: NNP NE;com 'american_broadcasting' 
abc_radio_networks:: NNP NE;com 'american_broadcasting' 
abilene_christian:: NNP NE;org 'abilene_christian_university' 
abraham_baldwin_agricultural:: NNP NE;org 'abraham_baldwin_agricultural_college' 
abrex_chemical:: NNP NE;com 'abrex_paint_and_chemical' 
abrex_chemicals:: NNP NE;com 'abrex_paint_and_chemical' 
abrex_paint:: NNP NE;com 'abrex_paint_and_chemical' 
abrex_paint_&_chemical:: NNP NE;com 'abrex_paint_and_chemical' 
abrex_paint_&_chemicals:: NNP NE;com 'abrex_paint_and_chemical' 
abrex_paint_and_chemicals:: NNP NE;com 'abrex_paint_and_chemical' 
abrex_paints:: NNP NE;com 'abrex_paint_and_chemical' 
abrex_paints_&_chemical:: NNP NE;com 'abrex_paint_and_chemical' 
abrex_paints_&_chemicals:: NNP NE;com 'abrex_paint_and_chemical' 
abrex_paints_and_chemical:: NNP NE;com 'abrex_paint_and_chemical' 
abrex_paints_and_chemicals:: NNP NE;com 'abrex_paint_and_chemical' 
